token_index	block	corrected_raw_token	grade	note
4	A		S	c4l8z -> calez, combines with token 3 g7n(gon) = "goncalez" (period spelling of Gonzalez); real name, dictionary-confirmed (VX-RD04)
9	A	d8st7.	S	glyph re-read (VX-RD04, native-res crop): the 4th character is a long-s/t ligature, not 'f' -- committed raw_token 'd8sf7.' misread it; corrected token decodes to 'desto.' (of/from this), a common real word
20	A		S	8n234r -> enuiar (enviar, to send) under the established key with 2=u/v folded; a real, contextually apt word ("la carta para enviar" = the letter to send); no segmentation problem after all -- the alternate 5-char reading noted in VX-CT03 does not decode as well
60	A		S	d37s. -> dios. (Dios, God); real word, matches VX-CT03's own dictionary-confirmation list
61	A		M	gg238 -> gguie (guie/guie, "guie" = may [God] guide); doubled initial g is plausible cursive flourish/doubled-letter, not a segmentation error; contextually fits "dios gguie como sea" = "Dios guie como sea" (God guide, however it may be)
5	A	h4d4d7	M	revised per the blind third-pass subagent (VX-RD04), which independently reads 'h4d4d7' (agreeing with passB, 2 of 3 sources) rather than committed 'h4l4d7' (passA only, 1 of 3): decodes 'hadado', plausibly 'ha dado' (has given) with an unmarked word-break rather than 'hallado'; still not an independently glyph-confirmed clean word this pass
10	A	d8sp28s	M	blind third-pass subagent (VX-RD04) splits this stretch as 'd8sp' + '28s' rather than committed 'd8sp2vs'; recombined and decoded this reads cleanly as 'despues' (después, after/afterwards), a common real word -- but the subagent itself flagged this exact stretch (its items 16-21) as its lowest-confidence segmentation call, so kept at M, not S
7	A		I	'85p8' confirmed character-for-character by the blind third-pass subagent (2 of 2 independent reads now agree) -- the glyph is solidly 85p8, not a misread; decodes 'e5pe' with digit 5 outside the established a/e/i/o/u=4/8/3/7/2 key. Digit 5 recurring in a confirmed glyph (also token 57) suggests a 6th cipher value (consonant or null) not yet solved, not a transcription error; left unresolved
66	A		M	3 -> i; single-digit token, plausibly the conjunction "y" (period spelling "i")
67	A		S	n7s -> nos (us); real word
32	A		I	4883 -> aeei; committed transcription confidence was 'high' (an all-digit token) but the decode is not a real word -- the fresh-instance re-derivation subagent (VX-RD04) independently caught this exact mismatch and flagged it for an image re-check. Downgraded from the automatic high->S default; not solved
64	A		M	s8v -> sev; not a real word on its own. Fresh-instance re-derivation subagent (VX-RD04) independently suggests it may combine with token 65 (233r) as 'servir' (to serve) with some letter noise -- plausible but not confirmed against the image. Downgraded from the automatic high->S default
68	A		M	c7n23nc8 -> conuince; close to conviene/convence (it suits/convinces) allowing one letter of period-spelling slack; not independently glyph-confirmed this pass
6	B		S	VX-RD04B, image confirmed (crop blockB_lines1-4, native res, folio 55): glyph is clearly 'd8ss87' -> decodes 'deseo' (desire/wish), a real word; passB's 'd8sr84' does not match the image
23	B	8n237	S	VX-RD04B, image confirmed (blockB_lines5-8): glyph reads 'en237' -> decodes 'enuio' (envío, "I send/forward"), real word matching passA over passB's 'e nc4'
24	B		S	VX-RD04B, image confirmed: 'p7rq28' -> decodes 'porque' (because), real word, clearly legible in the same line as token 23
45	B		S	VX-RD04B, image confirmed (blockB_lines5-8, the 'hablar al duque con veras' line): 'd2q28' -> decodes 'duque' (duke), real word and contextually apt (a duke is referenced again in block A's reading); upgraded from dict-pick-B medium
56	B	d8sg2st7	S	VX-RD04B, image confirmed (blockB_lines9-13): glyph reads closer to 'd8sg2st7' than either pass's transcription -> decodes 'desgusto' (displeasure/annoyance), real word
70	B		S	VX-RD04B, image confirmed: 'd8c3rl8' -> decodes 'decirle' (to tell him/her), real word, sits directly after the 'atreuen a' (they dare) clause; upgraded from dict-pick-B medium
71	B		S	VX-RD04B, image confirmed: 'n4d4,' -> decodes 'nada,' (nothing,), real word completing 'no se atreven a decirle nada' (they don't dare tell him/her anything); upgraded from dict-pick-B medium
78	B	c38nc34	S	VX-RD04B, image confirmed (blockB_lines9-13, bottom line): reads as two adjacent words 'ciencia' (c38nc34) then 'hacer' (h4c8r), which the automatic sequence-aligner merged into one unresolved slot because the two blind passes segmented the line differently around here; this slot keeps 'ciencia' (decodes cleanly), 'hacer' is not separately represented in ciphertext.tsv -- flagged for a successor to fix the token count, not solved here
