date	run	files	settings	best_score	score_per_token	restarts_at_best	control_accuracy	time	best_reading_head
2026-09-23	C1-joint	ctl1_f68.txt+ctl1_f70.txt	--restarts 16 --iters 300000	-1833.0	-2.309	5/16	tok=0.999 let=0.993	46s	ctl1_f68.txt: daltriperchenostrosegnorediocehapermessogoderecosidignoetopulentostatochenehalassatolabonamemoriadeloillustrissimosegnorenostropadrechemeritamenteneremanemointe || ctl1_f70.txt: inquestopaeserespondemocheloamorehauemosempreportatoadcasauostraperladeuotionehaue {COGNOSCIUTO} haueretersolapredictamadamaetloillustrissimoducaphilipertonostr
2026-09-23	C1-f68-alone	ctl1_f68.txt	--restarts 16 --iters 300000	-979.0	-2.423	2/16	tok=0.995 let=1.000	42s	ctl1_f68.txt: daltriperchenostrosegnorediocehapermessogoderecosidignoetopulentostatochenehalassatolabonamemoriadeloetillustrissimosegnorenostropadrechemeritamenteneremanemoin
2026-09-23	C1-f70-alone	ctl1_f70.txt	--restarts 16 --iters 300000	-849.8	-2.179	2/16	tok=0.995 let=0.982	40s	ctl1_f70.txt: inquestopaeserespondemocheloamorehauemosempreportatoadcasauostraperladeuotionehaue {COGNOSCIUTO} haueretersolapredictamadamaetloillustrissimoducaphilipertonostr
2026-09-23	C1-joint-shuffled1	ctl1_f68.txt+ctl1_f70.txt	--restarts 16 --iters 300000 --shuffle 1	-3394.0	-4.275	1/16		44s	ctl1_f68.txt: nolalauaiuitotmrdeetalumsioiinnnoaliniaddornissuiettoisunrrrseutaeiataialiietchessortalsotdseseiornitedieealmatriiussiueetpruarimoreisotupieseeisoooiloiesetanii || ctl1_f70.txt: alitrntithaaiiiehoseradauemsusnrrnnanristirmettalaoioeeiiniinalethchenrihssnecheiiu {COGNOSCIUTO} iaatitintussinnsiaetaseueisnliuiiicheseilaladetaneinunperchelh
2026-09-23	C2-joint	ctl2_f68.txt+ctl2_f70.txt	--restarts 16 --iters 300000	-1767.9	-2.227	10/16	tok=0.997 let=0.993	44s	ctl2_f68.txt: hauemotirespostononhauereuolutonotificarelinealtroueladietaadunationedeamenteetandatadedonatoperfinchenonhabiapassatoconledietegentelasesiaperchepalesandolanonf || ctl2_f70.txt: leuaesserequellacheseinterponessefrasoamaperuiadeparentadietperognialtrauiaexpedientec {ANCHEPO} hauerecompresosoasantitaperlamandassemoaddireperdemmoalbricoall
2026-09-23	C2-f68-alone	ctl2_f68.txt	--restarts 16 --iters 300000	-946.0	-2.342	2/16	tok=0.998 let=0.998	42s	ctl2_f68.txt: hauemotirespostononhauereuolutonotificarelinealtroueladietaadunationedeamenteetandatadedonatoperfinchenonhabiapassatoconledietegentelasesiaperchepalesandolanonf
2026-09-23	C2-f70-alone	ctl2_f70.txt	--restarts 16 --iters 300000	-820.8	-2.105	4/16	tok=0.992 let=0.978	42s	ctl2_f70.txt: leuaesserequelladeseinterponessefrasoamaperuiadeparentadietperognialtrauiaexpedientec {ANCHEPO} hauerecompresosoasantitaperlamandassemoaddireperdemmoalbricoalla
2026-09-23	C2-joint-shuffled1	ctl2_f68.txt+ctl2_f70.txt	--restarts 16 --iters 300000 --shuffle 1	-3395.6	-4.277	3/16		43s	ctl2_f68.txt: inoetetleauinlauuuceareuniseallilatasoamaaudimnentodelfuoilstiaiusdecreroidaiisceouemsreneetrsotorantichemetdetalaiinesauinnsedooedeearririrmeaoatoadedersndetse || ctl2_f70.txt: uinsechemiduiredeeuaantaetraattsaifeteetstcitiasoofarotsctuasetonoimenretdaeeeennaet {ANCHEPO} tseedauiseieinsaoriruedesueusdcheddesanansmetsoumtcetrteiideetooa
2026-09-23	C3-joint	ctl3_f68.txt+ctl3_f70.txt	--restarts 16 --iters 300000	-1875.2	-2.362	1/16	tok=0.995 let=0.991	44s	ctl3_f68.txt: sianopagatidictidenarietiononglidebofaraltromaleethocdipromisecheselausigrestituiralaabbatiadesanctobenignoaluescouodegeneuracheqnestaterraseintendaintalerestit || ctl3_f70.txt: efioloetsottobonaobedientiaetgouernodesuasignoriaetdemadamaetdalcantosuostagnanoet {INBONA} amicitiachenoietcheconsequentementeperquestonepossanoessereesianoobs
2026-09-23	C3-f68-alone	ctl3_f68.txt	--restarts 16 --iters 300000	-980.2	-2.426	2/16	tok=0.995 let=0.990	41s	ctl3_f68.txt: sianopagatidictidenarietiononglidebofaraltromaleethocdipromisecheselausigrestituiralaabbatiadesanctobenignoaluescouodegeneuracheqnestaterraseintendaintalerestit
