line	pos	sign	conf	why
p1L01	1	ps	H	G1 reading
p1L01	2	f	H	G1 reading
p1L01	3	33	H	G1 reading
p1L01	4	m	H	G1 reading
p1L01	5	ob	H	G1 reading
p1L01	6	xr	H	G1 reading
p1L01	7	xb	M	doubtful shape
p1L01	8	th	H	G1 reading
p1L01	9	f	H	G1 reading
p1L01	10	oo	H	G1 reading
p1L02	1	aab	H	G1 reading
p1L02	2	r	H	G1 reading
p1L02	3	34	H	G1 reading
p1L02	4	88x	H	G1 reading
p1L02	5	x	H	G1 reading
p1L02	6	tau	H	G1 reading
p1L02	7	zz	H	G1 reading
p1L02	8	77	H	G1 reading
p1L02	9	34	H	G1 reading
p1L02	10	60	H	G1 reading
p1L02	11	ob	H	G1 reading
p1L02	12	aaa	H	G1 reading
p1L02	13	xr	H	G1 reading
p1L02	14	aab	H	G1 reading
p1L02	15	f	H	G1 reading
p1L02	16	or	H	G1 reading
p1L02	17	th	H	G1 reading
p1L03	1	v	H	G1 reading
p1L03	2	ps	H	G1 reading
p1L03	3	cc	H	G1 reading
p1L03	4	f	H	G1 reading
p1L03	5	33	H	G1 reading
p1L03	6	ii	H	G1 reading
p1L03	7	88x	H	G1 reading
p1L03	8	xr	H	G1 reading
p1L03	9	dd	H	G1 reading
p1L03	10	34	H	G1 reading
p1L03	11	ps	H	G1 reading
p1L03	12	xm	H	G1 reading
p1L03	13	6	H	G1 reading
p1L03	14	m	H	G1 reading
p1L03	15	vt	H	G1 reading
p1L03	16	6	H	G1 reading
p1L03	17	101	H	G1 reading
p1L03	18	88	H	G1 reading
p1L04	1	rp	H	G1 reading
p1L04	2	cc	H	G1 reading
p1L04	3	rr	H	G1 reading
p1L04	4	f	H	G1 reading
p1L04	5	ps	H	G1 reading
p1L04	6	BLOT	M	doubtful shape
p1L04	7	lx	H	G1 reading
p1L04	8	87	H	G1 reading
p1L04	9	cro	H	G1 reading
p1L04	10	Ib	H	G1 reading
p1L04	11	tb	H	G1 reading
p1L04	12	aab	H	G1 reading
p1L04	13	x	H	G1 reading
p1L04	14	xy	H	G1 reading
p1L04	15	hs	H	G1 reading
p1L04	16	d6	H	G1 reading
p1L04	17	x_	H	G1 reading
p1L05	1	cc	H	G1 reading
p1L05	2	ob	H	G1 reading
p1L05	3	a	H	G1 reading
p1L05	4	xb	H	G1 reading
p1L05	5	zz	H	G1 reading
p1L05	6	34	H	G1 reading
p1L05	7	od	H	G1 reading
p1L05	8	cc	H	G1 reading
p1L05	9	44_	H	G1 reading
p1L05	10	60	H	G1 reading
p1L05	11	f	H	G1 reading
p1L05	12	b	H	G1 reading
p1L05	13	r	H	G1 reading
p1L05	14	oo	H	G1 reading
p1L05	15	]	H	G1 reading
p1L05	16	vt	H	G1 reading
p1L05	17	ps	H	G1 reading
p1L05	18	xm	H	G1 reading
p1L06	1	f	H	G1 reading
p1L06	2	88x	H	G1 reading
p1L06	3	34	H	G1 reading
p1L06	4	or	H	G1 reading
p1L06	5	d	H	G1 reading
p1L06	6	f	H	G1 reading
p1L06	7	88	H	G1 reading
p1L06	8	z	H	G1 reading
p1L06	9	aab	H	G1 reading
p1L06	10	f	H	G1 reading
p1L06	11	or	H	G1 reading
p1L06	12	hs	H	G1 reading
p1L06	13	rr	H	G1 reading
p1L06	14	Ib	H	G1 reading
p1L06	15	7	H	G1 reading
p1L06	16	f	H	G1 reading
p1L06	17	8	H	G1 reading
p1L06	18	tau	H	G1 reading
p1L06	19	aab	H	G1 reading
p1L07	1	hs	H	G1 reading
p1L07	2	f	H	G1 reading
p1L07	3	ps	H	G1 reading
p1L07	4	aaa	H	G1 reading
p1L07	5	zz	H	G1 reading
p1L07	6	r	H	G1 reading
p1L07	7	oo	H	G1 reading
p1L07	8	d	H	G1 reading
p1L07	9	x+	H	G1 reading
p1L07	10	rf	H	G1 reading
p1L07	11	ob	H	G1 reading
p1L07	12	6	H	G1 reading
p1L07	13	fb	H	G1 reading
p1L07	14	d6	H	G1 reading
