briefnr	page	line	idx	token
4610	p1	L01	1	=Du
4610	p1	L01	2	=m
4610	p1	L01	3	=Jour
4610	p1	L01	4	=de
4610	p1	L01	5	=Juing?
4610	p1	L01	6	1573
4610	p1	L01	7	=Duplicata
4610	p1	L02	1	=Il
4610	p1	L02	2	=fault
4610	p1	L02	3	=que
4610	p1	L02	4	=me
4610	p1	L02	5	=pardonnez
4610	p1	L02	6	=de
4610	p1	L02	7	=ce
4610	p1	L02	8	6
4610	p1	L02	9	=au
4610	p1	L02	10	60?
4610	p1	L02	11	=ay
4610	p1	L02	12	=depesché
4610	p1	L02	13	=a
4610	p1	L02	14	=messagier
4610	p1	L02	15	=ce
4610	p1	L02	16	=lundy
4610	p1	L02	17	=mais
4610	p1	L02	18	=selon
4610	p1	L02	19	=l'esperance
4610	p1	L02	20	=que
4610	p1	L02	21	=vous
4610	p1	L02	22	=m'auiez
4610	p1	L02	23	=donne
4610	p1	L02	24	=pense
4610	p1	L02	25	=de
4610	p1	L03	1	=cau?
4610	p1	L03	2	140
4610	p1	L03	3	125
4610	p1	L03	4	115
4610	p1	L03	5	81
4610	p1	L03	6	20
4610	p1	L03	7	86
4610	p1	L03	8	21
4610	p1	L03	9	82
4610	p1	L03	10	22
4610	p1	L03	11	83
4610	p1	L03	12	27
4610	p1	L03	13	150
4610	p1	L03	14	133
4610	p1	L03	15	84
4610	p1	L03	16	31
4610	p1	L03	17	117
4610	p1	L03	18	6
4610	p1	L03	19	81
4610	p1	L04	1	145
4610	p1	L04	2	=auoué?
4610	p1	L04	3	=este?
4610	p1	L04	4	=tout
4610	p1	L04	5	7
4610	p1	L04	6	71
4610	p1	L04	7	73
4610	p1	L04	8	36
4610	p1	L04	9	11
4610	p1	L04	10	13
4610	p1	L04	11	55
4610	p1	L04	12	56
4610	p1	L04	13	149
4610	p1	L04	14	138
4610	p1	L04	15	127
4610	p1	L04	16	16
4610	p1	L04	17	38
4610	p1	L04	18	108
4610	p1	L04	19	111
4610	p1	L04	20	2
4610	p1	L05	1	1
4610	p1	L05	2	8
4610	p1	L05	3	80
4610	p1	L05	4	28
4610	p1	L05	5	=a
4610	p1	L05	6	=paravec?
4610	p1	L05	7	12
4610	p1	L05	8	9
4610	p1	L05	9	30
4610	p1	L05	10	26
4610	p1	L05	11	102
4610	p1	L05	12	66
4610	p1	L05	13	114
4610	p1	L05	14	82
4610	p1	L05	15	122
4610	p1	L05	16	129
4610	p1	L05	17	141
4610	p1	L05	18	80
4610	p1	L05	19	88
4610	p1	L06	1	=le?
4610	p1	L06	2	=mal?
4610	p1	L06	3	=a
4610	p1	L06	4	=sa
4610	p1	L06	5	=plume
4610	p1	L06	6	=oultre
4610	p1	L06	7	=ce
4610	p1	L06	8	6
4610	p1	L06	9	=escripre
4610	p1	L06	10	=ne
4610	p1	L06	11	=fault
4610	p1	L06	12	=aucun
4610	p1	L06	13	=grand
4610	p1	L06	14	=peine
4610	p1	L06	15	=depuis
4610	p1	L06	16	=apres
4610	p1	L06	17	=derniere
4610	p1	L06	18	=fortune
4610	p1	L07	1	=guide
4610	p1	L07	2	151
4610	p1	L07	3	=a
4610	p1	L07	4	74
4610	p1	L07	5	27
4610	p1	L07	6	72
4610	p1	L07	7	23
4610	p1	L07	8	103
4610	p1	L07	9	14
4610	p1	L07	10	34
4610	p1	L07	11	134
4610	p1	L07	12	125
4610	p1	L07	13	=a
4610	p1	L07	14	=plusieurs
4610	p1	L07	15	20
4610	p1	L07	16	25
4610	p1	L07	17	105
4610	p1	L08	1	3
4610	p1	L08	2	75
4610	p1	L08	3	85
4610	p1	L08	4	30
4610	p1	L08	5	130
4610	p1	L08	6	127
4610	p1	L08	7	145
4610	p1	L08	8	=lesquelz
4610	p1	L08	9	=l'auoient
4610	p1	L08	10	150
4610	p1	L08	11	29
4610	p1	L08	12	9
4610	p1	L08	13	115
4610	p1	L08	14	111
4610	p1	L08	15	104
4610	p1	L08	16	74
4610	p1	L08	17	102
4610	p1	L08	18	32
4610	p1	L08	19	82
4610	p1	L09	1	122
4610	p1	L09	2	128
4610	p1	L09	3	=a
