briefnr	page	line	idx	token
4610	p1	L01	1	=du?
4610	p1	L01	2	=m?
4610	p1	L01	3	=jour
4610	p1	L01	4	=de
4610	p1	L01	5	=iung?
4610	p1	L01	6	1573
4610	p1	L01	7	=duplicata?
4610	p1	L02	1	=il
4610	p1	L02	2	=fault
4610	p1	L02	3	=que
4610	p1	L02	4	=on
4610	p1	L02	5	=pardonne
4610	p1	L02	6	=de
4610	p1	L02	7	=ce
4610	p1	L02	8	6
4610	p1	L02	9	=au
4610	p1	L02	10	=col?
4610	p1	L02	11	=qui
4610	p1	L02	12	=depesche
4610	p1	L02	13	=a
4610	p1	L02	14	=messagier
4610	p1	L02	15	=scelon?
4610	p1	L02	16	=lespoulx?
4610	p1	L02	17	=que
4610	p1	L02	18	=col?
4610	p1	L02	19	=auoit
4610	p1	L02	20	=donne?
4610	p1	L02	21	=parme?
4610	p1	L02	22	=de?
4610	p1	L03	1	=cau?
4610	p1	L03	2	140
4610	p1	L03	3	125
4610	p1	L03	4	115
4610	p1	L03	5	81
4610	p1	L03	6	20
4610	p1	L03	7	86
4610	p1	L03	8	21
4610	p1	L03	9	82
4610	p1	L03	10	22
4610	p1	L03	11	83
4610	p1	L03	12	27
4610	p1	L03	13	150
4610	p1	L03	14	123
4610	p1	L03	15	84
4610	p1	L03	16	31
4610	p1	L03	17	117
4610	p1	L03	18	6
4610	p1	L03	19	81?
4610	p1	L04	1	=auoit?
4610	p1	L04	2	=fut?
4610	p1	L04	3	=tout
4610	p1	L04	4	7
4610	p1	L04	5	71
4610	p1	L04	6	73
4610	p1	L04	7	36
4610	p1	L04	8	11
4610	p1	L04	9	13
4610	p1	L04	10	75
4610	p1	L04	11	56
4610	p1	L04	12	149
4610	p1	L04	13	138
4610	p1	L04	14	127
4610	p1	L04	15	16
4610	p1	L04	16	38
4610	p1	L04	17	101
4610	p1	L04	18	111
4610	p1	L04	19	2
4610	p1	L05	1	1
4610	p1	L05	2	8
4610	p1	L05	3	80
4610	p1	L05	4	28
4610	p1	L05	5	=apparoistre?
4610	p1	L05	6	12
4610	p1	L05	7	9
4610	p1	L05	8	30
4610	p1	L05	9	26
4610	p1	L05	10	102
4610	p1	L05	11	66
4610	p1	L05	12	114
4610	p1	L05	13	82
4610	p1	L05	14	122
4610	p1	L05	15	129
4610	p1	L05	16	141
4610	p1	L05	17	80
4610	p1	L05	18	88
4610	p1	L06	1	=leu?
4610	p1	L06	2	=la?
4610	p1	L06	3	=main
4610	p1	L06	4	=a
4610	p1	L06	5	=sa
4610	p1	L06	6	=plume
4610	p1	L06	7	=oultre
4610	p1	L06	8	=ce
4610	p1	L06	9	6?
4610	p1	L06	10	=descripre?
4610	p1	L06	11	=ne
4610	p1	L06	12	=fauet?
4610	p1	L06	13	=auroit?
4610	p1	L06	14	=grand
4610	p1	L06	15	=paine
4610	p1	L06	16	=depuis
4610	p1	L06	17	=n'a?
4610	p1	L06	18	=re?
4610	p1	L06	19	=derniere
4610	p1	L06	20	=lettre?
4610	p1	L07	1	=de
4610	p1	L07	2	=la
4610	p1	L07	3	=rechute?
4610	p1	L07	4	=guide?
4610	p1	L07	5	151
4610	p1	L07	6	=a?
4610	p1	L07	7	74
4610	p1	L07	8	27
4610	p1	L07	9	72
4610	p1	L07	10	23
4610	p1	L07	11	103
4610	p1	L07	12	14
4610	p1	L07	13	34
4610	p1	L07	14	134
4610	p1	L07	15	125
4610	p1	L07	16	=a
4610	p1	L07	17	=plusieurs
4610	p1	L07	18	20
4610	p1	L07	19	25
4610	p1	L07	20	105
4610	p1	L08	1	3
4610	p1	L08	2	75
4610	p1	L08	3	85
4610	p1	L08	4	30
4610	p1	L08	5	130
4610	p1	L08	6	127
4610	p1	L08	7	145
4610	p1	L08	8	=lisguisez?
4610	p1	L08	9	=lauoient?
4610	p1	L08	10	150
4610	p1	L08	11	29
4610	p1	L08	12	9
4610	p1	L08	13	115
4610	p1	L08	14	111
4610	p1	L08	15	104
4610	p1	L08	16	74
4610	p1	L08	17	102
4610	p1	L08	18	82
4610	p1	L08	19	82
4610	p1	L09	1	122
4610	p1	L09	2	128
