sign	count	pages	H	M	L	exemplars	note
X	199	c1,c2a,c2b,c3,c4a,c4b	91	105	3	c1_01_004,c1_01_018,c1_02_017,c2a_01_003,c2a_01_015,c2a_01_018,c2b_01_013,c2b_01_020	
PCT	62	c1,c2a,c2b,c3,c4a,c4b	46	16	0	c1_02_003,c1_02_018,c1_03_015,c2a_01_025,c2a_02_019,c2a_04_023,c2b_03_025,c2b_04_016	
Y-CURL	48	c1,c2a,c2b,c3,c4a,c4b	19	26	3	c1_01_008,c1_02_015,c1_05_009,c2a_03_023,c2a_08_008,c2a_09_034,c2b_03_026,c2b_04_001	
BLOB	39	c1,c2a,c2b,c3,c4a	0	38	1	c1_01_021,c1_03_003,c2a_01_033,c2a_02_024,c2a_04_016,c2b_02_021,c2b_02_023,c2b_02_025	
BAR-SOLID	38	c1,c2a,c2b,c3	0	38	0	c1_01_020,c1_03_013,c1_03_027,c2a_03_019,c2a_03_022,c2a_04_004,c2b_01_025,c2b_02_009	
WAVE	38	c1,c2a,c2b,c3,c4a,c4b	16	22	0	c1_04_014,c2a_04_024,c2a_05_021,c2a_11_014,c2b_05_005,c2b_06_012,c3_02_027,c4a_01_014	
BAR-THIN	30	c1,c2a,c2b,c3	0	28	2	c1_03_001,c1_04_006,c2a_01_001,c2a_01_021,c2a_02_015,c2b_01_008,c2b_01_009,c2b_01_012	
PCT-SLASH	27	c1,c2a,c3,c4a,c4b	15	9	3	c1_01_002,c1_02_013,c2a_01_011,c2a_02_006,c2a_06_012,c3_01_008,c4a_01_012,c4a_02_002	
VENUS	26	c1,c2a,c2b,c4a,c4b	21	4	1	c1_02_002,c1_04_020,c2a_03_003,c2a_03_009,c2a_06_030,c2b_05_007,c2b_06_011,c2b_07_002	
PHI	22	c1,c2a,c2b,c3	22	0	0	c1_03_026,c1_06_017,c2a_02_025,c2a_03_007,c2a_05_027,c2b_01_006,c2b_01_021,c2b_05_006	
LOOP-TAIL	21	c1,c2a,c2b,c3,c4a,c4b	9	9	3	c1_06_002,c2a_10_018,c2a_14_002,c2a_17_010,c2b_02_008,c2b_03_014,c2b_03_031,c1_03_011	
BAR-SERIF	19	c1,c2a,c2b,c3	19	0	0	c1_05_002,c1_05_003,c1_05_018,c2a_02_017,c2a_05_013,c2a_05_031,c2b_06_027,c2b_09_001	
CIRC-TAIL	19	c1,c2a,c2b,c3	0	19	0	c1_02_009,c1_04_004,c1_06_012,c2a_01_009,c2a_05_001,c2a_09_025,c2b_01_002,c2b_01_016	
DELTA-TAIL	19	c1,c2a,c2b,c3	0	19	0	c1_03_004,c1_04_003,c1_05_011,c2a_02_013,c2a_02_014,c2a_02_020,c2b_01_026,c2b_04_008	
O-TILDE	19	c1,c2a,c2b,c3,c4a,c4b	7	11	1	c1_01_001,c1_01_016,c2a_16_001,c2b_07_010,c4a_02_009,c4a_08_015,c4a_09_010,c1_02_005	
CC-DASH	18	c2a,c2b,c4a	12	4	2	c2a_01_004,c2a_03_013,c2a_06_015,c2b_02_004,c2b_02_015,c2b_07_004,c4a_04_006,c4a_09_013	
CIRC-O	18	c2a,c2b,c3,c4a,c4b	11	5	2	c2a_01_014,c2a_01_022,c2a_05_015,c2b_03_008,c2b_04_020,c2b_05_018,c4a_04_013,c4a_13_016	
CROSS-T	18	c1,c2a,c2b,c3,c4a	10	7	1	c1_05_008,c2a_06_014,c2a_07_023,c2a_17_003,c2b_01_023,c2b_06_010,c2b_07_003,c4a_02_007	
II-DASH	18	c1,c2a,c2b,c3,c4a	11	7	0	c1_01_009,c2a_02_023,c2a_06_016,c2a_07_003,c2b_03_001,c2b_04_005,c3_02_010,c4a_01_003	
O-SLASH	18	c1,c2a,c2b,c3,c4a	4	14	0	c1_01_012,c2b_03_011,c2b_08_006,c3_03_018,c1_03_006,c1_05_012,c2a_01_016,c2b_05_001	
OX-TILDE	18	c1,c2a,c2b,c3,c4a,c4b	12	3	3	c1_01_010,c1_03_019,c2a_05_008,c2a_07_010,c2a_07_031,c2b_02_019,c2b_04_006,c2b_04_024	
HOOK-L	17	c1,c2a,c2b,c3,c4a	15	2	0	c1_04_010,c2a_04_015,c2a_05_029,c2a_05_030,c2b_03_030,c2b_05_016,c2b_05_017,c3_01_019	
S-CURL	16	c1,c2a,c2b,c3,c4a,c4b	0	2	14	c1_06_015,c2b_08_010,c2a_05_023,c2a_11_011,c2a_12_006,c2b_05_002,c2b_07_014,c3_04_012	
EIGHT	15	c2a,c2b,c3,c4a,c4b	1	2	12	c2a_12_019,c2b_02_017,c4b_05_012,c2a_01_005,c2a_03_010,c2b_04_027,c3_03_016,c4a_01_007	
