line	pos	code	marks	action	conf	note
1	1	_		plain	H	large "R" with superscript flourish (abbreviation, e.g. R.do)
1	2	_		plain	H	"Dnt" plain abbreviation
1	3	_		delete	M	stray ink fragment/hook, part of ascender near pos2/4 boundary, not a separate sign
1	4	_		plain	M	plain cursive continuing word (looks like "lan...")
1	5	g		correct	L	beta/figure-8 shape, ambiguous with plain -us/9 ligature ending the word; no clear mark above, dropped erroneous "1" mark
1	6	p		confirm	M	capital P-like loop with stem, matches p reasonably
1	7	_		delete	M	tail stroke continuing from pos6, not a separate sign
1	8	_		delete	L	isolated short stroke above baseline, likely abbreviation tilde, not lam
1	9	_		plain	M	small loop, plain letter (e/c-like)
1	10	psi		confirm	M	forked loop + tail, matches psi
1	11	+		confirm	M	cross shape, matches +
1	12	_		plain	M	round "o" with flourish tail, plain letter
1	13	[		confirm	H	clean [ shape
1	14	bh		confirm	H	tall stem with hooked loop, matches bh
1	15	rz		confirm	M	low wave shape, matches rz
1	16	U		confirm	M	matches U reasonably
1	17	y		confirm	M	looped tail matches y
1	18	nt		confirm	M	crossed stroke, matches nt
1	19	[		confirm	H	clean [ shape
1	20	bh		confirm	H	tall stem with hooked loop, matches bh
1	21	sq	ot	confirm	M	square box with ot mark
1	22	psi		confirm	H	forked y with tail
1	23	lam	o	confirm	H	Lambda shape with ring mark
1	24	eps	5	confirm	H	clean epsilon two-bowl shape with numeral mark
1	25	nt		confirm	M	loop with crossing diagonal stroke, extended tail
1	26	[		confirm	H	clean [ shape
2	1	rz		confirm	H	low hook-then-wave shape, matches rz
2	2	g	~	confirm	H	loop shape with tilde mark, matches g
2	3	m	~	confirm	H	three-hump cursive m with tilde mark
2	4	w		confirm	H	cursive w with lead-in stroke
2	5	_		delete	M	isolated short vertical stroke, stray fragment
2	6	L		confirm	H	L shape with internal stroke
2	7	g	~	confirm	H	loop shape with tilde mark, matches g
2	8	o.		confirm	H	ring with dot inside, clean match
2	9	S7		confirm	H	7-shape, matches S7
2	10	lam	dot	confirm	M	two-stroke shape, matches lam
2	11	S7	~	confirm	H	7-shape with tilde mark
2	12	e	#	confirm	H	looped e with clear double-cross mark above
2	13	g	~	confirm	H	loop shape with tilde mark, matches g
2	14	y		correct	H	looped-tail y; box originally merged with a following tee sign, split off as pos14.5
2	14.5	tee		add	H	vertical stroke with right bar, was merged into pos14's box
2	15	K		correct	H	clean K letterform, clearly matches atlas K despite low script confidence
2	16	sq		correct	L	two joined closed-box cells with a descender tail; closest single atlas match is sq, possibly two merged signs - flag for reconciler
2	17	]	o	confirm	H	open-left square bracket, clean match
2	18	_		plain	M	hook with small v-loop, plain cursive; two dots above likely belong to neighbouring bh
2	19	bh	dot	confirm	H	tall stem hooked loop with dot marks above
2	20	S7	+	confirm	H	7-shape with clear + mark to the right
2	21	a		confirm	H	bold cursive a, clean match
2	22	S7	~	confirm	H	7-shape with tilde mark
2	23	lam	~	confirm	H	lambda shape with tilde mark
2	24	e	#	confirm	H	looped e with clear double-cross mark
2	25	wd		confirm	M	omega joined to tall right stroke
2	26	bh		confirm	H	tall stem hooked loop
2	27	K		confirm	H	clean K, matches atlas
2	28	Lx	#	confirm	H	lambda with crossing bar on right leg, # mark visible upper right
3	1	phi		correct	H	slashed-o on a long stem, matches phi not bh
3	2	]	o	confirm	H	open-left bracket with ring mark
3	3	nt		correct	M	box holds two stacked signs (n+ over Z); corrected to top sign nt, bottom split off as pos3.5
3	3.5	Z		add	M	bottom half of former pos3 box, a separate Z sign
3	4	]	dot|o	confirm	H	open-left bracket with dot and ring marks
3	5	S7	dot	confirm	M	7-shape with dot mark
3	6	lam		correct	M	two-legged peak shape, matches lam not f (no crossbar seen)
3	7	e	dot	confirm	M	looped e with mark above
3	8	y		confirm	H	cursive y with looped tail
3	9	e	#	correct	H	looped e; added visible # mark above (script gave none)
3	10	o.		correct	M	round ring shape, closer to o. than plain; dot not fully clear
3	11	m		correct	M	three-hump m; box was split in two, merged with pos12
3	12	_		delete	M	second half of the same m sign as pos11, not separate
3	13	g	7	correct	H	g loop with descender; numeral 7 mark above belongs here (script had it on pos12)
