seg	line	pos	group	plain
T1	L01	5	36	de
T1	L01	6	_15	sa
T1	L01	7	_28	vo
T1	L01	8	9	y
T1	L01	9	2	e
T1	L01	10	m	a
T1	L01	11	16	l
T1	L01	12	60	la
T1	L01	13	18	n
T1	L01	14	19	t
T1	L01	15	m	a
T1	L01	16	4	cc
T1	L01	17	33	o
T1	L01	18	17	m
T1	L01	19	_0	pa
T1	L01	20	13	gn
T1	L01	21	71	e
T1	L01	22	21	r
T1	L01	23	115	#
T1	L02	1	_15	sa
T1	L02	2	_18	s
T1	L02	3	2	oe
T1	L02	4	7	u
T1	L02	5	21	r
T1	L02	6	59	ju
T1	L02	7	20	s
T1	L02	8	_6	ques
T1	L02	9	m	a
T1	L02	10	_0	pa
T1	L02	11	21	r
T1	L02	12	66	me
T1	L02	13	_3	p
T1	L02	14	7	ou
T1	L02	15	21	r
T1	L02	16	_13	r
T1	L02	17	15	oi
T1	L02	18	19	t
T1	L02	19	23	pr
T1	L03	1	_11	en
T1	L03	2	18	dr
T1	L03	3	3	e
T1	L03	4	_11	r
T1	L03	5	_11	e
T1	L03	6	_18	s
T1	L03	7	64	ol
T1	L03	8	_22	ut
T1	L03	9	24	i
T1	L03	10	18	on
T1	L03	11	36	de
T1	L03	12	20	s
T1	L03	13	9	ym
T1	L03	14	65	ar
T1	L03	15	_12	i
T1	L03	16	2	e
T1	L03	17	21	r
T1	L03	18	9	y
T1	L03	19	m	a
T1	L04	1	9	y
T1	L04	2	m	a
T1	L04	3	18	n
T1	L04	4	19	t
T1	L04	5	36	de
T1	L04	6	20	s
T1	L04	7	23	pr
T1	L04	8	_12	i
T1	L04	9	18	n
T1	L04	10	71	ce
T1	L04	11	20	s
T1	L04	12	_16	se
T1	L04	13	20	s
T1	L04	14	36	de
T1	L04	15	20	s
T1	L04	16	6	qu
T1	L04	17	16	el
T1	L04	18	61	le
T1	L04	19	20	s
T1	L05	1	24	
T1	L05	2	18	on
T1	L05	3	37	di
T1	L05	4	19	t
T1	L05	5	26	be
T1	L05	6	m	a
T1	L05	7	7	u
T1	L05	8	33	c
T1	L05	9	7	ou
T1	L05	10	23	p
T1	L05	11	36	de
T1	L05	12	27	b
T1	L05	13	2	e
T1	L05	14	18	n
T2	L05	16	60	la
T2	L05	17	16	ll
T2	L05	18	62	i
T2	L06	1	m	a
T2	L06	2	18	n
T2	L06	3	71	ce
T2	L06	4	2	e
T2	L06	5	20	s
T2	L06	6	19	t
T2	L06	7	_17	si
T2	L06	8	37	di
T2	L06	9	20	s
T2	L06	10	27	pr
T2	L06	11	_13	o
T2	L06	12	_3	p
T2	L06	13	21	r
T2	L06	14	_22	t
T2	L06	15	24	i
T2	L06	16	18	on
T2	L06	17	71	ne
T2	L06	18	2	e
T2	L06	19	m	a
T2	L06	20	31	ce
T2	L06	21	16	l
T2	L07	1	61	le
T2	L07	2	20	s
T2	L07	3	_7	q
T2	L07	4	16	uil
T2	L07	5	_3	p
T2	L07	6	7	ou
T2	L07	7	21	r
T2	L07	8	_13	r
T2	L07	9	15	oi
T2	L07	10	19	t
T2	L07	11	40	fai
T2	L07	12	15	re
T2	L07	13	_11	en
T2	L07	14	2	fr
T2	L07	15	18	an
T2	L07	16	19	ce
T2	L07	17	_7	q
T2	L07	18	16	ui
T2	L07	19	16	ls
T2	L07	20	_13	er
