wvo_nr	date	sender	recipient	cipher_present	same_system_as_lagarde	image_available	notes
6179	28-11-1577	de la Garde, superintendent van Schoonhoven	Willem van Oranje	yes (target itself)	self	yes (images/06179_p2.png,p3.png)	dot-separated 1-2 digit numerals, values 1-24 (L1/L4)
6467	2-11-1577	Filips van Marnix van St. Aldegonde	Willem van Oranje	yes	yes (established, OX-LAG/Y1)	yes (images/06467_p2.png)	same dot-separated numeral system, values overlap 1-24; already pooled
5564	11-1-1577	Jan van Nassau	Willem van Oranje	yes	no (established R9, 24 Sept)	yes (fetched 24 Sept)	numeral groups mixed with roman-letter labels e.g. "a.32.b" -- different design
424	2-5-1579	Willem van Oranje	Philippe de Croij, hertog van Aerschot	no (this leaf)	n/a	yes (images/siblings/424.pdf, 4pp rendered)	KHAG leaf is continuous clear German prose throughout, no digit groups anywhere on 4pp; WVO's "solved on leaf" / opmerkingen note (a Simancas contemporary copy "ontcijferd en uit het Frans in het Spaans vertaald") refers to a separate copy elsewhere, not this leaf
6136	14-2-1576	Reinier Cant	Willem van Oranje	yes -- extensive (8 of 13 pp entirely in cipher)	no	yes (images/siblings/6136.pdf, 13pp rendered)	dot-separated numeral groups but 2-3 digit values running to 150+ (e.g. 137,144,109), with occasional symbol nulls (dagger/cross marks); alphabet far larger than La Garde/Marnix's <=24 -- a different, apparently unsolved cipher letter in its own right, NOT a pooling match. Flagged separately, not added to this target.
6178	26-4-1576	Guislain de Fiennes, heer van Lumbres	Willem van Oranje	no	n/a	yes (images/siblings/6178.pdf, 3pp rendered)	continuous clear French prose, address leaf p3, no cipher visible
6221	19-5-1576	Guillaume David (=La Huguerye)	Willem van Oranje	no	n/a	yes (images/siblings/6221.pdf, 5pp rendered)	continuous clear French prose (2 leaves) + a printed excerpt page (Kervyn/Groen-style edition scan bound into the same PDF); no cipher visible on either manuscript leaf
6238	26-1-1576	Johan Junius de jonge, heer van Rederheim en Cormaillon	Willem van Oranje	yes (short passage, bottom of p1)	no	yes (images/siblings/6238.pdf, 2pp rendered)	invented-symbol substitution table (typeset-regular glyphs, not numerals) -- different design entirely, not a numeral cipher
5227	4-2-1576	Willem van Oranje	Jan van Nassau	yes (short passage, bottom of p4)	no	yes (images/siblings/5227.pdf, 6pp rendered)	dot-separated numerals mixed with lowercase roman letters as nulls/homophones (values to ~94, e.g. "79.12.6.L.94.p.7...83.m.62..."); matches 5564's Jan-van-Nassau house-cipher description, not La Garde/Marnix's design
10700	13-7-1579	Willem van Oranje	gedeputeerden van Duitse Rijk	no (already-deciphered copy)	n/a	yes (images/siblings/10700.pdf, 3pp rendered)	Simancas copy headed "Copia de carta del Principe de Orange... desciffrada" -- a plaintext Spanish decipherment already, no raw cipher digits on this leaf
5228	4-4-1576	Willem van Oranje	Jan van Nassau	not checked this pass	n/a	not fetched	same correspondent/archive-code cluster as 5227/5564 (KHAG, Jan van Nassau); inferred same different-system cluster, not directly verified
5561	9-5-1576	Jan van Nassau	Willem van Oranje	not checked this pass	n/a	not fetched	same inference as 5228
10725	20-6-1579	Willem van Oranje	Jan van der Linden, abt van St. Geertruid	not checked this pass	n/a	not fetched	same "gedeputeerden"/Gachard-cited 1579 cluster as 10700; inferred likely also a deciphered-copy record, not directly verified
12630	25-6-1579	gedeputeerden van Duitse Rijk	Willem van Oranje	not checked this pass	n/a	not fetched	same inference as 10725
12631	29-4-1579	Willem van Oranje	Heinrich-Otto von Schwartzemberg	not checked this pass	n/a	not fetched	same inference as 10725
