run	page_img	pos	token	kind	groen_token	agree	note
1	p1	1	73	num	73	Y	
1	p1	2	50	num	50	Y	
1	p1	3	28	num	28	Y	
1	p1	4	9	num	9	Y	
1	p1	5	335	num	335	Y	
1	p1	6	aus	clear	aus	Y	
1	p1	7	14	num	14	Y	
1	p1	8	24	num	24	Y	
1	p1	9	316	num	316	Y	
2	p1	1	8	num	8	Y	
2	p1	2	98	num	98	Y	
2	p1	3	125	num	125	Y	
2	p1	4	53	num	53	Y	
2	p1	5	54	num	54	Y	
2	p1	6	42	num	42	Y	
2	p1	7	126	num	126	Y	
2	p1	8	302	num	302	Y	
3	p1	1	128	num	128	Y	
3	p1	2	133	num	133	Y	
3	p1	3	109	num	101	N	image reads 109 (closed-loop 9, cf. calibration on 14.9/93 elsewhere on p1); Groen prints 101
3	p1	4	4	num	4	Y	
3	p1	5	69	num	69	Y	
3	p1	6	100	num	100	Y	
3	p1	7	13	num	13	Y	
3	p1	8	91	num	91	Y	
3	p1	9	9	num	9	Y	
3	p1	10	106	num	106	Y	
3	p1	11	4	num	4	Y	
3	p1	12	32	num	32	Y	
3	p1	13	und	clear	und	Y	
3	p1	14	121	num	121	Y	
3	p1	15	99	num	99	Y	
3	p1	16	104	num	104	Y	
3	p1	17	120	num	120	Y	
3	p1	18	19	num	19	Y	
4	p1	1	9	num	9	Y	
4	p1	2	24	num	24	Y	
4	p1	3	86	num	86	Y	
4	p1	4	62	num	62	Y	
4	p1	5	7	num	7	Y	
4	p1	6	59	num	59	Y	
4	p1	7	28	num	28	Y	
4	p1	8	9	num	9	Y	
4	p1	9	48	num	48	Y	
4	p1	10	72	num	72	Y	
4	p1	11	3	num	3	Y	
4	p1	12	23	num	23	Y	
4	p1	13	67	num	67	Y	
4	p1	14	90	num	90	Y	
5	p1	1	70	num	70	Y	
5	p1	2	51	num	51	Y	
5	p1	3	2	num	2	Y	
5	p1	4	60	num	60	Y	
5	p1	5	93	num	93	Y	
5	p1	6	en	clear	en	Y	
5	p1	7	14	num	14	Y	
5	p1	8	9	num	9	Y	
6	p1	1	316	num	316	Y	
6	p1	2	127	num	127	Y	
6	p1	3	136	num	136	Y	
7	p1	1	137	num	137	Y	
7	p1	2	42	num	42	Y	
7	p1	3	64	num	64	Y	
7	p1	4	29	num	29	Y	
7	p1	5	114	num	114	Y	
7	p1	5b	xlviii	roman	xlviii	Y	roman numeral (=48) on the leaf, present in Groen's actual dbnl page text ("...und andere ahn xlviii. 124...") but not captured by groen_5549.tsv's digit-only regex (extraction gap, not a Groen omission)
8	p1	1	124	num	124	Y	
8	p1	2	135	num	135	Y	
8	p1	3	10	num	10	Y	
8	p1	4	32	num	32	Y	
8	p1	5	55	num	55	Y	
8	p1	6	88	num	88	Y	
8	p1	7	80	num	80	Y	
8	p1	8	en	clear	en	Y	
8	p1	9	14	num	14	Y	
8	p1	10	19	num	19	Y	
9	p1	1	181	num	181	Y	
9	p1	2	dasz	clear	dasz	Y	
9	p1	3	132	num	132	Y	
9	p1	4	129	num	129	Y	
9	p1	5	335	num	335	Y	
