code	key_values	n_agreed_gloss_tokens	n_match	n_mismatch	match_share	example_mismatches
16	E	76	63	13	0.83	11:20 gloss='i' vs key=['E']; 15:35 gloss='o' vs key=['E']; 17:8 gloss='c' vs key=['E']; 17:17 gloss='c' vs key=['E']; 22:4 gloss='a' vs key=['E']
26	E	60	41	19	0.68	02:10 gloss='u' vs key=['E']; 03:7 gloss='c' vs key=['E']; 04:8 gloss='t' vs key=['E']; 05:9 gloss='r' vs key=['E']; 10:12 gloss='u' vs key=['E']
5	D,L	46	35	11	0.76	16:9 gloss='x' vs key=['D', 'L']; 18:16 gloss='cy' vs key=['D', 'L']; 19:10 gloss='que' vs key=['D', 'L']; 19:26 gloss='en' vs key=['D', 'L']; 23:19 gloss='f' vs key=['D', 'L']
S36	S	44	32	12	0.73	03:1 gloss='ss' vs key=['S']; 04:9 gloss='f' vs key=['S']; 09:9 gloss='f' vs key=['S']; 11:42 gloss='f' vs key=['S']; 11:53 gloss='f' vs key=['S']
15	N	43	39	4	0.91	06:7 gloss='en' vs key=['N']; 11:30 gloss='h' vs key=['N']; 14:24 gloss='u' vs key=['N']; 18:30 gloss='u' vs key=['N']
60	I	37	17	20	0.46	02:8 gloss='z' vs key=['I']; 04:30 gloss='z' vs key=['I']; 05:26 gloss='z' vs key=['I']; 07:18 gloss='t' vs key=['I']; 11:34 gloss='l' vs key=['I']
S34	R	36	29	7	0.81	18:4 gloss='f' vs key=['R']; 23:17 gloss='s' vs key=['R']; 24:9 gloss='x' vs key=['R']; 24:36 gloss='x' vs key=['R']; 25:15 gloss='x' vs key=['R']
S37	T,fit	33	32	1	0.97	11:2 gloss='tc' vs key=['T', 'fit']
12	A	32	31	1	0.97	14:22 gloss='d' vs key=['A']
9	C,DOUBLES:ss(round)	32	26	6	0.81	12:29 gloss='n' vs key=['C', 'DOUBLES:ss(round)']; 20:11 gloss='e' vs key=['C', 'DOUBLES:ss(round)']; 20:22 gloss='e' vs key=['C', 'DOUBLES:ss(round)']; 21:1 gloss='e' vs key=['C', 'DOUBLES:ss(round)']; 21:15 gloss='t' vs key=['C', 'DOUBLES:ss(round)']
102	V	29	27	2	0.93	10:17 gloss='-' vs key=['V']; 28:13 gloss='d' vs key=['V']
62	E	28	23	5	0.82	01:10 gloss='i' vs key=['E']; 23:16 gloss='u' vs key=['E']; 24:12 gloss='z' vs key=['E']; 27:28 gloss='a' vs key=['E']; 33:8 gloss='r' vs key=['E']
44	O	24	22	2	0.92	17:3 gloss='e' vs key=['O']; 25:29 gloss='po' vs key=['O']
14	A	23	22	1	0.96	14:32 gloss='u' vs key=['A']
64	I	22	7	15	0.32	01:1 gloss='z' vs key=['I']; 02:16 gloss='z' vs key=['I']; 03:27 gloss='l' vs key=['I']; 04:17 gloss='z' vs key=['I']; 09:5 gloss='z' vs key=['I']
82	O	22	20	2	0.91	18:29 gloss='e' vs key=['O']; 26:29 gloss='s' vs key=['O']
104	V	19	19	0	1.00	
