line	position	sign	value	grade	gloss	cause
01	6	9	c	I	s	key cell (graded M)
01	10	62	e	M	i	gloss misread or transcription (token agreed blind)
01	18	S32	que	I	quel	gloss abbreviation / gloss spans more than one token
01	19	S35	vous	I	so	key cell (graded M)
02	6	9	c	I	s	key cell (graded M)
02	10	26	e	M	u	gloss misread or transcription (token agreed blind)
02	18	S03	g	M	a	gloss misread or transcription (token agreed blind)
02	22	S03	g	M	a	gloss misread or transcription (token agreed blind)
03	1	S36	s	M	ss	key cell (graded M)
03	7	26	e	M	c	transcription (token settled at M) or gloss misread
03	19	9	c	I	s	key cell (graded M)
03	27	64	i	M	l	transcription (token settled at M) or gloss misread
03	30	S35	vous	I	so	key cell (graded M)
04	8	26	e	M	t	gloss misread or transcription (token agreed blind)
04	9	S36	s	M	f	key cell (graded M)
04	23	S32	que	I	quel	gloss abbreviation / gloss spans more than one token
05	9	26	e	M	r	gloss misread or transcription (token agreed blind)
06	7	15	n	M	en	transcription (token settled at M) or gloss misread
06	19	7	u	M	y	transcription (token settled at M) or gloss misread
07	7	S32	que	I	quel	gloss abbreviation / gloss spans more than one token
07	8	S35	vous	I	so	key cell (graded M)
07	18	60	i	M	t	gloss misread or transcription (token agreed blind)
07	31	S35	vous	I	so	key cell (graded M)
08	20	S27	l	M	f	transcription (token settled at M) or gloss misread
09	9	S36	s	M	f	key cell (graded M)
10	12	26	e	M	u	transcription (token settled at M) or gloss misread
10	17	102	u	M	-	transcription (token settled at M) or gloss misread
10	27	S27	l	M	-	transcription (token settled at M) or gloss misread
11	2	S37	t	I	tc	key cell (graded M)
11	20	16	e	M	i	gloss misread or transcription (token agreed blind)
11	25	S52	ne	M	lle	gloss abbreviation / gloss spans more than one token
11	30	15	n	M	h	transcription (token settled at M) or gloss misread
11	34	60	i	M	l	gloss misread or transcription (token agreed blind)
11	42	S36	s	M	f	key cell (graded M)
11	53	S36	s	M	f	key cell (graded M)
11	55	S31	p	M	r	gloss misread or transcription (token agreed blind)
12	4	S27	l	M	r	transcription (token settled at M) or gloss misread
12	10	S35	vous	I	vos	key cell (graded M)
12	16	73	y	M	ll	transcription (token settled at M) or gloss misread
12	28	26	e	M	o	transcription (token settled at M) or gloss misread
12	29	9	c	I	n	key cell (graded M)
12	32	22	pour	I	pu	key cell (graded M)
13	12	73	y	M	z	transcription (token settled at M) or gloss misread
13	36	17	h	M	ch	gloss misread or transcription (token agreed blind)
14	14	S36	s	M	f	key cell (graded M)
14	22	12	a	M	d	transcription (token settled at M) or gloss misread
14	24	15	n	M	u	gloss misread or transcription (token agreed blind)
14	25	S36	s	M	f	key cell (graded M)
14	30	S35	vous	I	so	key cell (graded M)
14	32	14	a	M	u	transcription (token settled at M) or gloss misread
14	36	S36	s	M	f	key cell (graded M)
14	38	S40	z	M	x	transcription (token settled at M) or gloss misread
15	12	26	e	M	u	transcription (token settled at M) or gloss misread
15	19	76	mm	M	u	transcription (token settled at M) or gloss misread
15	30	S36	s	M	f	key cell (graded M)
15	35	16	e	M	o	gloss misread or transcription (token agreed blind)
16	9	5	d|l	M	x	homograph (unresolved)
16	25	52	pp	M	pr	transcription (token settled at M) or gloss misread
17	3	44	o	M	e	transcription (token settled at M) or gloss misread
17	6	S32	que	I	fait	gloss abbreviation / gloss spans more than one token
17	8	16	e	M	c	transcription (token settled at M) or gloss misread
17	17	16	e	M	c	transcription (token settled at M) or gloss misread
17	20	60	i	M	r	transcription (token settled at M) or gloss misread
17	24	24	i	M	tt	transcription (token settled at M) or gloss misread
18	4	S34	r	M	f	transcription (token settled at M) or gloss misread
18	16	5	d|l	M	cy	homograph (unresolved)
18	17	S29	m	M	gm	key cell (graded M)
18	19	60	i	M	t	gloss misread or transcription (token agreed blind)
18	21	26	e	M	u	transcription (token settled at M) or gloss misread
18	29	82	o	M	e	transcription (token settled at M) or gloss misread
18	30	15	n	M	u	gloss misread or transcription (token agreed blind)
19	1	S27	l	M	s	gloss misread or transcription (token agreed blind)
19	10	5	d|l	M	que	homograph (unresolved)
19	14	60	i	M	l	transcription (token settled at M) or gloss misread
19	16	S29	m	M	on	key cell (graded M)
19	18	64	i	M	h	transcription (token settled at M) or gloss misread
19	26	5	d|l	M	en	homograph (unresolved)
19	29	60	i	M	l	gloss misread or transcription (token agreed blind)
20	11	9	c	I	e	key cell (graded M)
20	22	9	c	I	e	key cell (graded M)
20	23	60	i	M	l	transcription (token settled at M) or gloss misread
20	30	22	pour	I	bo	key cell (graded M)
21	1	9	c	I	e	key cell (graded M)
21	11	60	i	M	t	gloss misread or transcription (token agreed blind)
21	14	S35	s	M	le	key cell (graded M)
21	15	9	c	I	t	key cell (graded M)
