line	position	sign	value	grade	reason
01	6	9	c	I	gloss read s over 9, but the word needs c (receu 01, escrire 02, ce 03): 9=c, the gloss s is a c
01	10	62	e	M	gloss 'i' disagrees with key 62=e; key kept
01	11	S23	s	I	word code S23 (armee de mer) inside spelled text, glossed 's': atlas confusion, gloss taken
01	13	5	l	C	gloss l over 5 (D and L share 5; gloss d 21, l 10)
01	18	S32	que	I	gloss quel over S32: Q standing for que
01	19	S35	vous	I	S35 glossed so: the vous word sign (S51) matched to S35 (secretary v read s)
01	23	5	l	C	gloss l over 5 (D and L share 5; gloss d 21, l 10)
02	6	9	c	I	gloss read s over 9, but the word needs c (receu 01, escrire 02, ce 03): 9=c, the gloss s is a c
02	10	26	e	M	gloss 'u' disagrees with key 26=e; key kept
02	12	S16	d	I	S16 (Le Duc de Guyse) glossed d/du in running text: an atlas confusion with a d-form; gloss taken
02	18	S03	g	M	gloss 'a' disagrees with key S03=g; key kept
02	19	4	t	I	unkeyed sign 4; value from its gloss
02	22	S03	g	M	gloss 'a' disagrees with key S03=g; key kept
02	30	S16	d	I	S16 (Le Duc de Guyse) glossed d/du in running text: an atlas confusion with a d-form; gloss taken
03	1	S36	s	M	gloss 'ss' disagrees with key S36=s; key kept
03	4	22	pour	C	rule 22=pour (gloss po/pu 7 of 9 glossed; never sc)
03	7	26	e	M	gloss 'c' disagrees with key 26=e; key kept
03	12	9	c	C	rule 9=c (gloss c 22 of 33; the 3 glossed s sit in receu/escrire/ce; never the round-ss double)
03	13	S40	r	I	S40 (Z) glossed r: the R-loop S33 matched to S40 (ZX-TR349D lead 3)
03	17	S16	d	I	S16 (Le Duc de Guyse) glossed d/du in running text: an atlas confusion with a d-form; gloss taken
03	19	9	c	I	gloss read s over 9, but the word needs c (receu 01, escrire 02, ce 03): 9=c, the gloss s is a c
03	21	S32	que	C	gloss que over S32: Q standing for que
03	24	9	c	C	rule 9=c (gloss c 22 of 33; the 3 glossed s sit in receu/escrire/ce; never the round-ss double)
03	27	64	i	M	gloss 'l' disagrees with key 64=i; key kept
03	30	S35	vous	I	S35 glossed so: the vous word sign (S51) matched to S35 (secretary v read s)
04	5	S16	d	I	S16 (Le Duc de Guyse) glossed d/du in running text: an atlas confusion with a d-form; gloss taken
04	7	S16	d	I	S16 (Le Duc de Guyse) glossed d/du in running text: an atlas confusion with a d-form; gloss taken
04	8	26	e	M	gloss 't' disagrees with key 26=e; key kept
04	9	S36	s	M	gloss 'f' disagrees with key S36=s; key kept
04	13	5	l	C	gloss l over 5 (D and L share 5; gloss d 21, l 10)
04	18	S37	t	C	rule S37=t (gloss t 32 of 35; never fit)
04	20	22	pour	C	rule 22=pour (gloss po/pu 7 of 9 glossed; never sc)
04	21	5	l	C	gloss l over 5 (D and L share 5; gloss d 21, l 10)
04	23	S32	que	I	gloss quel over S32: Q standing for que
