line	pos	sign	conf
f27_L02	1	=Ma	H
f27_L02	2	=^te	H
f27_L02	3	.	H
f27_L02	4	λ	M
f27_L02	5	ꝑ	M
f27_L02	6	i	L?
f27_L02	7	g	M
f27_L02	8	t	M
f27_L02	9	+	M
f27_L02	10	o	M
f27_L02	11	.	H
f27_L02	12	j	M
f27_L02	13	.	H
f27_L02	14	ß	M
f27_L02	15	v	L?
f27_L02	16	z	L?
f27_L02	17	+	M
f27_L02	18	g	M
f27_L02	19	t	M
f27_L02	20	c	L?
f27_L02	21	f	M
f27_L02	22	ſ	M
f27_L02	23	///	M
f27_L02	24	f	M
f27_L02	25	y	M
f27_L02	26	ꝑ	M
f27_L02	27	v	M
f27_L02	28	ſ	M
f27_L02	29	o	M
f27_L02	30	o	M
f27_L02	31	+	M
f27_L02	32	o	M
f27_L02	33	¢	L?
f27_L02	34	g	M
f27_L02	35	t	L?
f27_L02	36	ɔ??	L
f27_L02	37	v	M
f27_L02	38	c	M
f27_L02	39	m	M
f27_L02	40	f	M
f27_L02	41	ſ	M
f27_L02	42	o	M
f27_L02	43	2	M
f27_L02	44	0	M
f27_L02	45	0	M
f27_L02	46	ß	M
f27_L02	47	ι	L?
f27_L02	48	ϑ??	L
f27_L02	49	v	L?
f27_L02	50	⌐??	L
f27_L02	51	8	M
f27_L02	52	∞	M
f27_L02	53	t	M
f27_L02	54	o	M
f27_L02	55	c	M
f27_L02	56	m	L?
f27_L02	57	e	L?
f27_L02	58	y	L?
f27_L02	59	-??	L
f27_L03	1	x	L?
f27_L03	2	+	M
f27_L03	3	i	L?
f27_L03	4	g	M
f27_L03	5	t	M
f27_L03	6	+	M
f27_L03	7	f	M
f27_L03	8	f	M
f27_L03	9	ꝑ	M
f27_L03	10	.	H
f27_L03	11	j	M
f27_L03	12	.	H
f27_L03	13	g	M
f27_L03	14	i	L?
f27_L03	15	v	M
f27_L03	16	ſ	M
f27_L03	17	a	M
f27_L03	18	ß	M
f27_L03	19	g	M
f27_L03	20	π	L?
f27_L03	21	i	L?
f27_L03	22	z	L?
f27_L03	23	+	M
f27_L03	24	m	M
f27_L03	25	c	M
f27_L03	26	ß	M
f27_L03	27	ꝑ	M
f27_L03	28	i	L?
f27_L03	29	///	M
f27_L03	30	λ	L?
f27_L03	31	f	M
f27_L03	32	#	L?
f27_L03	33	q	M
f27_L03	34	E	L?
f27_L03	35	8	M
f27_L03	36	v	M
f27_L03	37	ꝑ	M
f27_L03	38	+	M
f27_L03	39	ꝑ	M
f27_L03	40	r	L?
f27_L03	41	i	L?
f27_L03	42	2	L?
f27_L03	43	π	M
f27_L03	44	π	M
f27_L03	45	∞	M
f27_L03	46	ꝑ	M
f27_L03	47	f	M
f27_L03	48	4	M
f27_L03	49	ß	M
f27_L03	50	y	M
f27_L03	51	o	M
f27_L03	52	t	M
f27_L03	53	i	L?
f27_L03	54	i	L?
f27_L03	55	∂	M
f27_L03	56	f	M
f27_L03	57	///	M
f27_L03	58	r	L?
f27_L03	59	o	M
f27_L03	60	c	M
f27_L03	61	#	L?
f27_L03	62	ß	M
f27_L03	63	f	M
f27_L04	1	g	M
f27_L04	2	w	L?
f27_L04	3	n	L?
f27_L04	4	b	L?
f27_L04	5	u	L?
f27_L04	6	+	M
f27_L04	7	g	M
f27_L04	8	t	M
f27_L04	9	o	M
f27_L04	10	g	M
f27_L04	11	z	L?
f27_L04	12	+	M
